timestamp,ap_id,device_id,event,rssi
2026-09-20T14:35:57.823338+00:00,AP_02,dev_35eea70824060c98,connect,-53
2026-09-20T14:35:58.823338+00:00,AP_01,dev_d5facb6e4cdd0f8d,connect,-49
2026-09-20T14:36:02.823338+00:00,AP_03,dev_172964ce995cefb5,connect,-53
2026-09-20T14:36:03.823338+00:00,AP_02,dev_4463e93e128fb718,connect,-49
2026-09-20T14:36:07.823338+00:00,AP_01,dev_ef43c0dc8df3847e,connect,-52
2026-09-20T14:36:09.823338+00:00,AP_02,dev_09e69aaa959cdd44,connect,-45
2026-09-20T14:36:11.823338+00:00,AP_01,dev_46106d48bf350825,connect,-49
2026-09-20T14:36:11.823338+00:00,AP_02,dev_36251f494ec5e4c4,connect,-47
2026-09-20T14:36:12.823338+00:00,AP_01,dev_26be14216d4fd7c4,connect,-55
2026-09-20T14:36:13.823338+00:00,AP_02,dev_b3417cd8c6c08f19,connect,-47
2026-09-20T14:36:15.823338+00:00,AP_01,dev_dac9735c15d23598,connect,-51
2026-09-20T14:36:21.823338+00:00,AP_02,dev_9ac7e0c7eb7246b5,connect,-50
2026-09-20T14:36:26.823338+00:00,AP_01,dev_78b7476e077c5c58,connect,-58
2026-09-20T14:36:26.823338+00:00,AP_02,dev_a9a77d30a2535eda,connect,-45
2026-09-20T14:36:27.823338+00:00,AP_01,dev_3b33fcd2e1d3f788,connect,-44
2026-09-20T14:36:27.823338+00:00,AP_02,dev_35eea70824060c98,heartbeat,-48
2026-09-20T14:36:28.823338+00:00,AP_01,dev_d5facb6e4cdd0f8d,heartbeat,-51
2026-09-20T14:36:32.823338+00:00,AP_03,dev_172964ce995cefb5,heartbeat,-51
2026-09-20T14:36:33.823338+00:00,AP_02,dev_4463e93e128fb718,heartbeat,-57
2026-09-20T14:36:34.823338+00:00,AP_01,dev_4d55811fcbb2d44b,connect,-47
2026-09-20T14:36:37.823338+00:00,AP_01,dev_ef43c0dc8df3847e,heartbeat,-49
2026-09-20T14:36:39.823338+00:00,AP_02,dev_09e69aaa959cdd44,heartbeat,-53
2026-09-20T14:36:40.823338+00:00,AP_02,dev_1730e5aaa7a31ce6,connect,-43
2026-09-20T14:36:41.823338+00:00,AP_01,dev_46106d48bf350825,heartbeat,-51
2026-09-20T14:36:41.823338+00:00,AP_01,dev_de09aa0b03e5957e,connect,-42
2026-09-20T14:36:41.823338+00:00,AP_02,dev_36251f494ec5e4c4,heartbeat,-44
2026-09-20T14:36:42.823338+00:00,AP_01,dev_26be14216d4fd7c4,heartbeat,-46
