timestamp,ap_id,device_id,event,rssi
2026-09-20T14:35:36.226924+00:00,AP_01,dev_605e9822a32bf845,connect,-53
2026-09-20T14:35:42.226924+00:00,AP_01,dev_dac99220a0ad0fd7,connect,-49
2026-09-20T14:35:45.226924+00:00,AP_02,dev_4ac84bb5b54bd1e2,connect,-50
2026-09-20T14:35:53.226924+00:00,AP_02,dev_0f96d15f51d22665,connect,-50
2026-09-20T14:35:55.226924+00:00,AP_02,dev_dba56be9de81f118,connect,-47
2026-09-20T14:35:57.226924+00:00,AP_01,dev_4f88e58b44e4f3e4,connect,-48
2026-09-20T14:35:57.226924+00:00,AP_02,dev_1f7d38735c96fb65,connect,-53
2026-09-20T14:36:01.226924+00:00,AP_01,dev_daba50eec8c1da46,connect,-46
2026-09-20T14:36:01.226924+00:00,AP_03,dev_0ee25486519d39a2,connect,-44
2026-09-20T14:36:03.226924+00:00,AP_02,dev_7dc730154810b19b,connect,-50
2026-09-20T14:36:06.226924+00:00,AP_01,dev_605e9822a32bf845,heartbeat,-44
2026-09-20T14:36:12.226924+00:00,AP_01,dev_dac99220a0ad0fd7,heartbeat,-49
2026-09-20T14:36:15.226924+00:00,AP_01,dev_539021518e086590,connect,-47
2026-09-20T14:36:15.226924+00:00,AP_02,dev_4ac84bb5b54bd1e2,heartbeat,-49
2026-09-20T14:36:16.226924+00:00,AP_01,dev_445ccbc2b30f400c,connect,-54
2026-09-20T14:36:18.226924+00:00,AP_02,dev_e0901586fe4e5714,connect,-54
2026-09-20T14:36:21.226924+00:00,AP_02,dev_55eaa3daf2dd130b,connect,-50
2026-09-20T14:36:23.226924+00:00,AP_01,dev_62e4eb8d4981d69d,connect,-50
2026-09-20T14:36:23.226924+00:00,AP_02,dev_0f96d15f51d22665,heartbeat,-46
2026-09-20T14:36:25.226924+00:00,AP_02,dev_dba56be9de81f118,heartbeat,-53
2026-09-20T14:36:26.226924+00:00,AP_02,dev_2b173c18c059f8e9,connect,-52
2026-09-20T14:36:27.226924+00:00,AP_01,dev_8036e1c3a6abbe3c,connect,-48
2026-09-20T14:36:27.226924+00:00,AP_01,dev_4f88e58b44e4f3e4,heartbeat,-55
2026-09-20T14:36:27.226924+00:00,AP_02,dev_1f7d38735c96fb65,heartbeat,-52
2026-09-20T14:36:28.226924+00:00,AP_01,dev_f50ad49c2c67a14f,connect,-54
2026-09-20T14:36:31.226924+00:00,AP_01,dev_101e46487f17e515,connect,-54
2026-09-20T14:36:31.226924+00:00,AP_01,dev_daba50eec8c1da46,heartbeat,-48
2026-09-20T14:36:31.226924+00:00,AP_03,dev_0ee25486519d39a2,heartbeat,-47
2026-09-20T14:36:33.226924+00:00,AP_02,dev_7dc730154810b19b,heartbeat,-49
2026-09-20T14:36:35.226924+00:00,AP_03,dev_a4b93ff51018f4c5,connect,-51
2026-09-20T14:36:38.226924+00:00,AP_01,dev_605e9822a32bf845,heartbeat,-50
2026-09-20T14:36:38.226924+00:00,AP_02,dev_e1493be4e7873c05,connect,-46
2026-09-20T14:36:39.226924+00:00,AP_02,dev_67afb0bc703b419b,connect,-55
2026-09-20T14:36:43.226924+00:00,AP_01,dev_35778c3c4e63c5e5,connect,-51
2026-09-20T14:36:43.226924+00:00,AP_01,dev_731b3d87b1dc7eee,connect,-45
2026-09-20T14:36:43.226924+00:00,AP_01,dev_bc8d7b6196fcef34,connect,-46
2026-09-20T14:36:43.226924+00:00,AP_02,dev_4ac84bb5b54bd1e2,heartbeat,-45
2026-09-20T14:36:43.226924+00:00,AP_02,dev_349b3f24156b47ac,connect,-50
2026-09-20T14:36:44.226924+00:00,AP_01,dev_dac99220a0ad0fd7,heartbeat,-47
2026-09-20T14:36:45.226924+00:00,AP_01,dev_539021518e086590,heartbeat,-51
2026-09-20T14:36:45.226924+00:00,AP_02,dev_75cf3775171f19ea,connect,-45
2026-09-20T14:36:45.226924+00:00,AP_03,dev_07284014dce9133c,connect,-50
2026-09-20T14:36:46.226924+00:00,AP_01,dev_445ccbc2b30f400c,heartbeat,-52
2026-09-20T14:36:48.226924+00:00,AP_02,dev_e0901586fe4e5714,heartbeat,-53
2026-09-20T14:36:49.226924+00:00,AP_01,dev_7a7cb5ddf5eb7995,connect,-50
2026-09-20T14:36:51.226924+00:00,AP_02,dev_55eaa3daf2dd130b,heartbeat,-48
2026-09-20T14:36:52.226924+00:00,AP_02,dev_dba56be9de81f118,heartbeat,-50
2026-09-20T14:36:53.226924+00:00,AP_01,dev_62e4eb8d4981d69d,heartbeat,-44
2026-09-20T14:36:53.226924+00:00,AP_02,dev_0f96d15f51d22665,heartbeat,-54
2026-09-20T14:36:54.226924+00:00,AP_01,dev_3685007455cd815a,connect,-50
2026-09-20T14:36:54.226924+00:00,AP_02,dev_1f7d38735c96fb65,heartbeat,-45
2026-09-20T14:36:56.226924+00:00,AP_02,dev_2b173c18c059f8e9,heartbeat,-49
2026-09-20T14:36:57.226924+00:00,AP_01,dev_8036e1c3a6abbe3c,heartbeat,-45
2026-09-20T14:36:57.226924+00:00,AP_01,dev_4f88e58b44e4f3e4,heartbeat,-50
2026-09-20T14:36:58.226924+00:00,AP_01,dev_f50ad49c2c67a14f,heartbeat,-46
2026-09-20T14:37:01.226924+00:00,AP_01,dev_101e46487f17e515,heartbeat,-52
2026-09-20T14:37:01.226924+00:00,AP_01,dev_daba50eec8c1da46,heartbeat,-53
2026-09-20T14:37:04.226924+00:00,AP_03,dev_0ee25486519d39a2,heartbeat,-45
2026-09-20T14:37:05.226924+00:00,AP_03,dev_a4b93ff51018f4c5,heartbeat,-53
2026-09-20T14:37:06.226924+00:00,AP_02,dev_7dc730154810b19b,heartbeat,-45
2026-09-20T14:37:07.226924+00:00,AP_02,dev_e880e41ccd1eeaca,connect,-50
2026-09-20T14:37:08.226924+00:00,AP_01,dev_932d334d0b33c912,connect,-57
2026-09-20T14:37:08.226924+00:00,AP_02,dev_e1493be4e7873c05,heartbeat,-47
2026-09-20T14:37:09.226924+00:00,AP_02,dev_67afb0bc703b419b,heartbeat,-47
2026-09-20T14:37:10.226924+00:00,AP_01,dev_605e9822a32bf845,heartbeat,-46
2026-09-20T14:37:11.226924+00:00,AP_01,dev_dac99220a0ad0fd7,heartbeat,-48
2026-09-20T14:37:11.226924+00:00,AP_02,dev_44bae648792c87a3,connect,-54
2026-09-20T14:37:12.226924+00:00,AP_01,dev_bbc41c619e88bd47,connect,-50
